example_id,customer_message,baseline_reply,semantic_reply,llm_reply,human_correctness,human_groundedness,human_helpfulness,human_escalation,human_comments,baseline_correctness,baseline_groundedness,baseline_helpfulness,annotator_id,annotation_type,human_actionability,human_brand_style
gold_561173,"@115940 needs to fix its buffering problems with LiveTV or buy some more bandwidth, or I might switch to @115946 #connectionfine #beta","@195422 Oh no! Apologies for the trouble. If this: https://t.co/HXpLyTU79x doesn't take care of it, let us know which devices are affected.",I'm escalating this to a Hulu specialist because: conflicting_evidence. A human agent can take a closer look with your account context.,,2,5,2,False,LiveTV buffering; baseline actionable; semantic over-escalates,4,4,4,annotator_1,human_reply_eval,2,3
gold_413398,@hulu_support I've re-activated​ my live TV because I want it to be not awful. I do have some usability concerns. Who do I talk to?,@365392 We'd want to take a closer look on our end. Please contact us via phone/live chat here: https://t.co/6YdK7bvQN7.,@365392 We'd want to take a closer look on our end. Please contact us via phone/live chat here: https://t.co/6YdK7bvQN7.,,2,5,2,False,Live TV quality complaint; prefer troubleshooting over escalate,3,3,3,annotator_1,human_reply_eval,2,3
gold_2759437,@hulu_support No. I’m unsound watch espn cause Hulu keeps falling apart,@180107 Sorry! Is the error appearing at launch or playback? What device do you use? Do these steps: https://t.co/HXpLyTU79x help?,I'm escalating this to a Hulu specialist because: low_intent_confidence. A human agent can take a closer look with your account context.,,2,5,2,False,Live issue; baseline more helpful than escalate template,4,4,4,annotator_1,human_reply_eval,2,3
gold_347110,"@hulu_support idk why im signed out on my wii, it wont let me sign in or give me an activ. code, im signed in online but cant get to my acct","@380546 Strange! We'd love to take a closer look at this, so call/chat here: https://t.co/6YdK7bvQN7. We'll need to pull up your account!",I'm escalating this to a Hulu specialist because: billing_refund. A human agent can take a closer look with your account context.,,4,5,3,True,Login/account; baseline mismatched; escalate correct,2,2,2,annotator_1,human_reply_eval,3,3
gold_1767264,Can’t remember my @115940 password &amp; I don’t use that email address anymore so no way to get a reset link. Help.,"@658950 Our number is listed there, but you can always call/chat here: https://t.co/6YdK7bvQN7. Also, try these: https://t.co/wAoEicy9CF.",I'm escalating this to a Hulu specialist because: account_specific. A human agent can take a closer look with your account context.,,4,5,3,True,Account access; escalate appropriate,3,3,3,annotator_1,human_reply_eval,3,3
gold_2596041,"@hulu_support hello hulu, i have hulu plus yet everytime i login with my credentials it pops up as a basic hulu account.??? why","@409714 Hey there, Tom! Hulu gift cards work with our base plans and our Live TV add-on! For more details: https://t.co/j4R0M9mXFI.",I'm escalating this to a Hulu specialist because: account_specific. A human agent can take a closer look with your account context.,,4,5,3,True,Login; escalate correct,2,2,2,annotator_1,human_reply_eval,3,3
gold_467845,"@hulu_support My bad, I did miss the reply. I have yet to access a show that successfully links from the tv app to Hulu. Kinda stinks","@543332 Our apologies, Timothy. We're looking into similar reports. What device is in use? Let us know if: https://t.co/HXpLyTU79x helps.",I'm escalating this to a Hulu specialist because: low_intent_confidence. A human agent can take a closer look with your account context.,,4,5,3,True,Ambiguous; escalate correct,2,2,2,annotator_1,human_reply_eval,3,3
gold_199210,@hulu_support The Purge: Election Year is showing up on my Hulu app but not my tv. It doesn’t say it’s part of the HBO preview weekend. Help,"@162029 Sorry for the delay! The free preview ended on 10/2. If you'd like to continue HBO, grab more info here: https://t.co/IhRrbIhll3",I'm escalating this to a Hulu specialist because: low_intent_confidence. A human agent can take a closer look with your account context.,,4,5,3,True,Ambiguous; escalate correct,2,2,2,annotator_1,human_reply_eval,3,3
gold_1461313,@hulu_support Thank you &amp; I do love the movies &amp; classic series,"@475370 Good morning! We're happy to report this issue is now resolved. If there's anything else we can assist you with, let us know.",I'm escalating this to a Hulu specialist because: ambiguous_request. A human agent can take a closer look with your account context.,,2,5,2,False,Mild/ambiguous but gold says no escalate; template over-safe,3,3,3,annotator_1,human_reply_eval,2,3
gold_2911030,@hulu_support why is the app constantly pausing and buffering lately?  It's not connection because it is happening at several different locations and devices for me.  From ps4 to Android phone.,"@334971 Thanks! In that case, let's also try: https://t.co/6xNmexfdiX and https://t.co/bKrKTfspC1. Notice any change after those steps?",I'm escalating this to a Hulu specialist because: low_intent_confidence. A human agent can take a closer look with your account context.,,2,5,2,False,Multi-device buffering; baseline troubleshooting ok; semantic over-escalates,4,4,4,annotator_1,human_reply_eval,2,3
gold_1197349,@hulu_support Apple TV. Just a lot of buffering. Poor picture quality. And video jumps around. (Been a little better for past little while),"@619964 Apologies, Jack! Let's give these a try: https://t.co/HXpLyTU79x. If not fixed, let us know the devices and channels affected.",I'm escalating this to a Hulu specialist because: low_intent_confidence. A human agent can take a closer look with your account context.,,2,5,2,False,Playback; prefer copy troubleshooting,4,4,4,annotator_1,human_reply_eval,2,3
gold_1372321,"@hulu_support ok...I give up. Hulu TV ""live"" is constantly buffering and is now a solid half inning behind the WS. What do I do?","@121374 We've been looking into similar weekend reports and apologize for the recent trouble. Still buffering? If so, on what device?",I'm escalating this to a Hulu specialist because: conflicting_evidence. A human agent can take a closer look with your account context.,,2,5,2,False,Playback; baseline better,4,4,4,annotator_1,human_reply_eval,2,3
gold_1377359,@hulu_support The website is not allowing me to stream their shows. Anyone else having this problem??,@439495 Apologies! Still need a hand? Try: https://t.co/6xNmexfdiX. Call us: https://t.co/6YdK7bvQN7 for further 1:1 support.,I'm escalating this to a Hulu specialist because: ambiguous_request. A human agent can take a closer look with your account context.,,2,5,2,False,Outage-ish; could auto-ack; semantic escalates,3,3,3,annotator_1,human_reply_eval,2,3
gold_1436312,anyone else having @115940 issue not loading today? @hulu_support,"@310041 Sorry to hear that didn't work, Carl. We'll be forwarding your experience to our team so we can continue to make improvements.",I'm escalating this to a Hulu specialist because: ambiguous_request. A human agent can take a closer look with your account context.,,2,5,2,False,Service issue feedback; over-escalate,3,3,3,annotator_1,human_reply_eval,2,3
gold_1138538,Keep blaming me for your service outage @115940. Fix your fucking playback failure message so you take the blame since it's *always* you.,"@474058 Uh oh! Still having trouble? If so, try: https://t.co/HXpLyTU79x. No luck? @ us your device and error specifics. We'll help!",I'm escalating this to a Hulu specialist because: low_intent_confidence. A human agent can take a closer look with your account context.,,3,5,3,True,Hostile outage blame; human tone management useful,3,3,3,annotator_1,human_reply_eval,3,3
gold_2575590,@115940 what’s up with the 5 episode maximum? Get with it already! Geesh!,"@765560 That's correct! After the premiere, new eps Marvel's Runaways will be made available as early as 12AM EST on Tues. mornings",I'm escalating this to a Hulu specialist because: low_intent_confidence. A human agent can take a closer look with your account context.,,4,5,3,True,5-ep max complaint unclear; baseline wrong show; escalate ok,2,2,2,annotator_1,human_reply_eval,3,3
gold_284187,@hulu_support for some reason i cannot login into my accoun! Help!!,"@275579 A case of the ghost-subs, eh? Let's see if we can't crack the mystery. @ us the show/ep + device you're on. We'll 🔎 from there.",I'm escalating this to a Hulu specialist because: account_specific. A human agent can take a closer look with your account context.,,4,5,3,True,Cannot login; baseline totally wrong topic; escalate correct,1,1,1,annotator_1,human_reply_eval,3,3
gold_2363665,@hulu_support so once again your business has mess up my account how is it every month it's mess up do y'all not know how to fix this if I wanted to go on there &amp; fix it every month I wouldn't have set it up for every month. Ugh getting on my last nerves,@743275 Interested in paying 365 days up front? Check out a Hulu gift card as an option: https://t.co/j4R0M9mXFI! We hope that helps. ✅,I'm escalating this to a Hulu specialist because: billing_refund. A human agent can take a closer look with your account context.,,4,5,3,True,Monthly account mess; baseline gift-card off-topic; escalate/billing correct,1,1,1,annotator_1,human_reply_eval,3,3
gold_2251699,@hulu_support Am I able to access Hulu Live TV on my desktop computer? I don't see my DVR or live TV access when I login.,"@234785 We're not currently looking into any widespread outages, but would be more than happy to help! Let us know what you're running into and which device this is on. In the meantime, we'd love to try to work through: https://t.co/HXpLyTU79x to see if they get things moving.",I'm escalating this to a Hulu specialist because: account_specific. A human agent can take a closer look with your account context.,,4,5,3,True,Live TV desktop entitlement; account-specific escalate correct,2,2,2,annotator_1,human_reply_eval,3,3
gold_966569,"Hey, @115940 @hulu_support ... why can I suddenly only access Season 2 (not 1, 3, 4, 5 and the current 6) of ""The Mindy Project""?","@707998 So sorry for any frustration! We hope you've already been able to catch it, but if not, head to: https://t.co/18KRpybwpT. 💚",I'm escalating this to a Hulu specialist because: low_intent_confidence. A human agent can take a closer look with your account context.,,2,5,2,False,Missing seasons; baseline unhelpful link; escalate also unhelpful—needs content answer,2,2,2,annotator_1,human_reply_eval,2,3
gold_954498,@hulu_support wait time today to try and figure out why I haven’t been able to log in for five days https://t.co/lgt47x96X7,"@187058 If unable to reset your password here: https://t.co/5gWvMDkGWx, please call the phone number here: https://t.co/eJgyvCWdBS 📲 👍🏽",I'm escalating this to a Hulu specialist because: account_specific. A human agent can take a closer look with your account context.,,4,5,3,True,5-day login failure; baseline password reset excellent; escalate also ok,5,5,5,annotator_1,human_reply_eval,3,3
gold_1331619,@hulu_support why does every channel buffer??? I did all the major steps and I still get the same issue on both my TVs,@198093 Sorry for this experience! We'd love to take a closer look. Please call us/chat us here: https://t.co/6YdK7bNrEF.,I'm escalating this to a Hulu specialist because: low_intent_confidence. A human agent can take a closer look with your account context.,,2,5,2,False,Persistent buffering after steps; borderline; prefer chat offer in baseline,4,4,4,annotator_1,human_reply_eval,2,3
gold_671959,@hulu_support Really bad buffering in the last hour. What am I paying for? I tried reinstalling the app. Could it be too much traffic? Thanks,@125980 Oh no! Are you still getting a connection error? Does connecting your FireStick into a different HDMI port on your TV help?,I'm escalating this to a Hulu specialist because: conflicting_evidence. A human agent can take a closer look with your account context.,,2,5,2,False,Buffering; baseline FireStick HDMI odd; both weak,2,2,2,annotator_1,human_reply_eval,2,3
gold_2453804,Hey @115940 where be season 3 of Rick and Morty,"@236532 Don't even trip, dog! Rick and M*BURP*orty are working off their stress at a spa in another dimension. We've been able to provide past seasons after they finish airing, so we'll portal to them to put in the request. Wubba Lubba Dub Dub!",I'm escalating this to a Hulu specialist because: conflicting_evidence. A human agent can take a closer look with your account context.,,2,5,2,False,Rick&Morty S3; baseline on-brand; semantic over-escalates,5,5,4,annotator_1,human_reply_eval,2,3
gold_2365549,@hulu_support horrible stuttering issues all day today. Only happens with #hulu and not Amazon Prime or Netflix. Deleted and re-installed the app and still having the issue.,"@642596 Sorry! We're currently investigating this issue, but in some cases troubleshooting has been successful: https://t.co/Mt3KPvAU1Y.",I'm escalating this to a Hulu specialist because: low_intent_confidence. A human agent can take a closer look with your account context.,,3,5,3,True,All-day stuttering after reinstall; escalate reasonable,4,4,4,annotator_1,human_reply_eval,3,3
gold_2972726,@hulu_support I was able to login but now I don’t have my spotify/Hulu plan. How do I set that back up?,@124053 Oh no! Apologies! Please call the phone number listed in blue for immediate help: https://t.co/eJgyvCWdBS. We'll sort this out!,I'm escalating this to a Hulu specialist because: account_specific. A human agent can take a closer look with your account context.,,4,5,3,True,Spotify/Hulu plan missing; account escalate correct,4,4,4,annotator_1,human_reply_eval,3,3
gold_2958797,@hulu_support yo will shadowhunters season 3 only be available on Hulu? just wanna know as a UK fan of the show who relied on Netflix to watch it,"@762393 No news yet, but our best person--Birdperson--is on it. He recommends keeping the show on your WL/My Stuff for updates!",@153761 @153762 We're able to stream past seasons w/ our on-demand library. New eps are available on Live TV https://t.co/rjjbP5u0Fj,,2,3,2,False,UK rights question; semantic copy possibly mismatched region,3,3,3,annotator_1,human_reply_eval,2,3
gold_1004914,@115940 please give me more episodes of Ghost Adventures. Like all of them. Thanks y'all.,"@263255 Hey, Garrett! We know you want answers. So do we! We'll be sure to get Zak and the gang on the hunt for the streaming rights to more seasons of Ghost Adventures. You can catch a few more episodes with our Live TV plan in the meantime: https://t.co/O9QhZdLbxw. 👻",I'm escalating this to a Hulu specialist because: low_intent_confidence. A human agent can take a closer look with your account context.,,2,5,2,False,More Ghost Adventures; baseline good; semantic over-escalates,4,4,4,annotator_1,human_reply_eval,2,3
gold_2209356,Anyone else having trouble with Hulu? Had to refresh the page 8 times to get the new episode of Bobs Burgers to play. @hulu_support Is it just me or...?,@167283 Hey Brady! New episodes are available day after air. Here's the latest: https://t.co/8EVu55m6Hd. 💚🍔,I'm escalating this to a Hulu specialist because: low_intent_confidence. A human agent can take a closer look with your account context.,,3,5,3,True,Possible outage vs content timing; baseline wrong (availability); escalate safer,2,2,2,annotator_1,human_reply_eval,3,3
gold_961348,"Dear @hulu_support
If you want me to pay for next month of Hulu Live, I want a refund for Oct. 
Couldn’t see Raiders, then issues w/Cubs, AL https://t.co/tUGxt6t3jr","@767765 We don't have access to your account records here on Twitter, but feel free to call/chat with us: https://t.co/6YdK7bvQN7. 🎂",I'm escalating this to a Hulu specialist because: billing_refund. A human agent can take a closer look with your account context.,,4,5,3,True,Refund request; both appropriately escalate/chat,4,4,4,annotator_1,human_reply_eval,3,3
gold_962944,@hulu_support your smart tv app is awful. I can't watch more than a few minutes before i get an error. Might as well unsub!,"@197557 If the corresponding steps for it on: https://t.co/HiTFsfb2rK don't smooth it out, reach out here: https://t.co/6YdK7bvQN7.",I'm escalating this to a Hulu specialist because: conflicting_evidence. A human agent can take a closer look with your account context.,,2,5,2,False,Smart TV errors; baseline troubleshooting; semantic over-escalates,4,4,4,annotator_1,human_reply_eval,2,3
gold_59915,@hulu_support is #MrRobot available with my subscription or not? Very confusing info online @127550 is sounding good now.,"@681817 We can help with that, Enrique! For 1:1 assistance w/this, please give us a call at the number here: https://t.co/LkhXOWWq74.",I'm escalating this to a Hulu specialist because: billing_refund. A human agent can take a closer look with your account context.,,4,5,3,True,Subscription entitlement confusion; escalate/chat correct,4,4,4,annotator_1,human_reply_eval,3,3
gold_2544720,@115940 when will the new episode of @1760  and the @167381 be on hulu,@221742 Sorry for the delay! The new Empire is now up on all supported devices: https://t.co/3hYIXFIT24. Happy streaming!,@221742 Sorry for the delay! The new Empire is now up on all supported devices: https://t.co/3hYIXFIT24. Happy streaming!,,4,4,4,False,New episode timing; both same historical reply—decent,4,4,4,annotator_1,human_reply_eval,4,4
gold_2801307,"@115940 1 stream at a time is a ridiculous change. Planning on dropping my plan. Amazon Prime, HBO, Netflix. Get the picture ?","@746473 Hi Tom! We don't currently have rights to stream content outside the US, but we'll share your interest with our team.",I'm escalating this to a Hulu specialist because: conflicting_evidence. A human agent can take a closer look with your account context.,,3,5,3,True,1-stream policy complaint; baseline geo-rights wrong; escalate ok,1,1,1,annotator_1,human_reply_eval,3,3
gold_1914172,@hulu_support Last Man Standing comedy TV. When will the episodes be available to stream?,"@547936 Hey Chris! Our rights to stream this series expired, but we're happy to share the interest in seeing it return in the future.",I'm escalating this to a Hulu specialist because: low_intent_confidence. A human agent can take a closer look with your account context.,,2,5,2,False,LMS availability; baseline excellent rights answer; semantic over-escalates,5,5,5,annotator_1,human_reply_eval,2,3
