example_id,customer_tweet_id,conversation_id,customer_message,conversation_context,gold_intent_2,gold_escalate_2,annotator2_notes
gold_2575590,2575590,root_2575590,@115940 what’s up with the 5 episode maximum? Get with it already! Geesh!,[],other_ambiguous,True,5 episode max unclear
gold_116350,116350,root_116350,"@hulu_support Trying to add the SNL Thanksgiving Special and am getting ""check your internet connection and try again. Error Code: Network Error: 400"". Our internet connection is fine and we just finished watching Blossom. Heads up, @115940",[],playback_error,True,network error 400 adding content
gold_962964,962964,root_962964,@115940 for the last three days I have been trying to watch Hulu and I keep getting error 😞,[],playback_error,False,3 days of errors
gold_7640,7640,cust_7640,"@hulu_support Has been this way for months.  Doesn't that tell you how much we hate the ""new experience?""  Can't even get a live person - twitter bot",[],feedback_complaint,True,hate new experience; wants live person
gold_775201,775201,root_775201,"@hulu_support can’t get Hulu to play anything right now! Chat is worthless too, keeps disconnecting me. Please fix this! Reset router done.",[],playback_error,True,cannot play + chat disconnecting
gold_2181625,2181625,root_2181625,"I've seen the same commercial 7 times in the same episode that I've been watching on @115940
Can y'all not",[],feedback_complaint,False,repeat commercials — not billing; disagree gold billing
gold_2365549,2365549,root_2365549,@hulu_support horrible stuttering issues all day today. Only happens with #hulu and not Amazon Prime or Netflix. Deleted and re-installed the app and still having the issue.,[],playback_error,True,all-day stutter after reinstall
gold_2754550,2754550,root_2754550,"@hulu_support hello, I cancelled my subscription in August yet I still got charged apparently every month since then. Please reverse the charges! https://t.co/l4PVeomLtY",[],billing_subscription,True,charged after cancel — refund
gold_188077,188077,root_188078,"@hulu_support Hbo free trial claims a month in app, only a week through account. Which is correct - and what about Cinemax and showtime?",[],billing_subscription,True,HBO trial length conflict
gold_2032180,2032180,root_2032180,@hulu_support my account works on ps4 but wont open on my blu ray player now,[],app_device_issue,True,works PS4 not blu-ray
gold_870898,870898,root_870898,"Tried out @hulu_support only because they have South Park, and it is ABSOLUTE TRASH... switching back to @116602 #sad",[],feedback_complaint,True,churn / trash product
gold_404842,404842,root_404842,@115940 why can’t I just go to straight live tv? Why start at the beginning of a game and call the pregame advertisement?? #help,[],live_tv_issues,False,Live TV start-at-beginning UX
gold_303365,303365,root_303365,"Seriously, @115940. How do I fix this? Because I’m getting annoyed with having to skip to the end of this same ep of Nashville time and again",[],app_device_issue,False,resume/skip episode bug
gold_564410,564410,root_564410,"@hulu_support Your stream of the SEC Championship game is completely unwatchable. Buffering every few seconds, losing it's spot, ""parts of the stream missing"" errors, and complete playback failure.",[],live_tv_issues,False,SEC game unwatchable buffering
gold_2196355,2196355,root_2196355,@hulu_support why is there no new episode this week for The Good Dr??,[],content_availability,False,missing weekly episode
gold_2584541,2584541,root_2584541,@115940 What’s going on with your system? Favorites won’t automatically upload. Now the watched shows don’t get marked off. Your service is starting to suck a bit.,[],app_device_issue,True,favorites/watched sync broken
gold_714050,714050,root_714050,@hulu_support how do you watch tv on a laptop?,[],how_to_feature,False,watch on laptop
gold_1597543,1597543,root_1597543,@hulu_support why the constant buffering? Just switched from sling...I may have to switch back?,[],playback_error,False,constant buffering vs sling
gold_1377359,1377359,root_1377359,@hulu_support The website is not allowing me to stream their shows. Anyone else having this problem??,[],service_outage,False,outage report
gold_655277,655277,root_655279,@hulu_support @267250 Been not one improvement in 2 months. Hulu doesn’t care about customer feedback.,[],feedback_complaint,True,no improvement / doesn't care
gold_199210,199210,root_199210,@hulu_support The Purge: Election Year is showing up on my Hulu app but not my tv. It doesn’t say it’s part of the HBO preview weekend. Help,[],other_ambiguous,True,insufficient info
gold_959076,959076,root_959074,"@hulu_support The program is over now, so, I guess we’ll just have to try again next time we have a problem.",[],other_ambiguous,True,follow-up after program ended — thin context
gold_2788559,2788559,root_2788559,"i’m still mad that @115940 took top gun off, put it back!!!",[],content_availability,False,Top Gun removed — put back
gold_1504506,1504506,root_1504502,@hulu_support Is 100mbps fast enough? It is for netflix 🤔,[],how_to_feature,False,bandwidth adequacy question
gold_2642114,2642114,root_2642114,@hulu_support why the buffering-buffering-buffering all the time on live shows?  On-Demand seems okay.  This has been going on for weeks.,[],live_tv_issues,False,live buffering weeks; on-demand ok
