example_id,customer_tweet_id,conversation_id,customer_message,conversation_context,gold_intent,gold_escalate,escalation_reason,annotator_confidence,difficulty,annotator_notes,annotator_id
gold_1797020,1797020,root_1797020,"I'm trying to like this new @115940 live thing, but the constant buffering is really annoying.",[],playback_error,False,troubleshooting_strong_evidence,high,easy,rules=['playback_error']; escalate:routine_support_issue,phase1_engineer
gold_1372321,1372321,root_1372321,"@hulu_support ok...I give up. Hulu TV ""live"" is constantly buffering and is now a solid half inning behind the WS. What do I do?",[],playback_error,False,troubleshooting_strong_evidence,high,easy,rules=['playback_error']; escalate:routine_support_issue,phase1_engineer
gold_2575634,2575634,root_2575634,@115940 I’ve had enough of the constant buffering and loading issues. I’ve tried everything to fix it. From uninstalling &amp; reinstalling to resetting my network &amp; power cycling everything. Thought you should know of the issue again since no on there can fix it,[],playback_error,False,troubleshooting_strong_evidence,medium,medium,rules=['playback_error']; escalate:routine_support_issue,phase1_engineer
gold_1197349,1197349,root_1197350,@hulu_support Apple TV. Just a lot of buffering. Poor picture quality. And video jumps around. (Been a little better for past little while),[],playback_error,False,troubleshooting_strong_evidence,medium,medium,"rules=['playback_error', 'app_device_issue']; escalate:routine_support_issue",phase1_engineer
gold_2147146,2147146,root_2147146,"Hey, @hulu_support, your ads keep making our stream fail. Connection Error 5005 and 5003.",[],playback_error,False,troubleshooting_strong_evidence,high,easy,rules=['playback_error']; escalate:routine_support_issue,phase1_engineer
gold_1597543,1597543,root_1597543,@hulu_support why the constant buffering? Just switched from sling...I may have to switch back?,[],playback_error,False,troubleshooting_strong_evidence,high,easy,rules=['playback_error']; escalate:routine_support_issue,phase1_engineer
gold_561173,561173,root_561173,"@115940 needs to fix its buffering problems with LiveTV or buy some more bandwidth, or I might switch to @115946 #connectionfine #beta",[],live_tv_issues,False,troubleshooting_strong_evidence,medium,medium,"rules=['live_tv_issues', 'playback_error']; escalate:routine_support_issue",phase1_engineer
gold_2454160,2454160,root_2454160,@hulu_support   Can’t watch NBC live tv.  What’s going on. This is the third day now. https://t.co/W38ZlBsmn2,[],live_tv_issues,False,troubleshooting_strong_evidence,medium,medium,rules=['live_tv_issues']; escalate:routine_support_issue,phase1_engineer
gold_306787,306787,root_306787,@hulu_support why am I getting buffering screens with your live TV service so frequently? I have 300mbps down. https://t.co/AtNTV9Rf4Z,[],live_tv_issues,False,troubleshooting_strong_evidence,medium,medium,"rules=['live_tv_issues', 'playback_error']; escalate:routine_support_issue",phase1_engineer
gold_600837,600837,root_600837,@115940 your live stream is not working today. Not impressed,[],live_tv_issues,False,troubleshooting_strong_evidence,high,easy,rules=['live_tv_issues']; escalate:routine_support_issue,phase1_engineer
gold_897796,897796,cust_897796,@hulu_support I call often!here the same cookie cutter responses.its only Hulu live TV.not @116602 not #amazonprime.watching this on n off👎 https://t.co/y5XCSf0xYb,[],live_tv_issues,False,troubleshooting_strong_evidence,medium,medium,rules=['live_tv_issues']; escalate:routine_support_issue,phase1_engineer
gold_1378378,1378378,root_1378378,@115940  live TV keeps freezing!,[],live_tv_issues,False,troubleshooting_strong_evidence,medium,medium,"rules=['live_tv_issues', 'playback_error']; escalate:routine_support_issue",phase1_engineer
gold_1713595,1713595,root_1713595,@hulu_support still experiencing frozen pic and unstable resolution on live tv - my wifi is showing 5-6 megabit ???,[],live_tv_issues,False,troubleshooting_strong_evidence,medium,medium,"rules=['live_tv_issues', 'playback_error']; escalate:routine_support_issue",phase1_engineer
gold_2644254,2644254,root_2644254,Thank you @115940 for screwing up the live tv during a game.,[],live_tv_issues,True,insufficient_evidence,medium,medium,rules=['live_tv_issues']; escalate:routine_support_issue; MANUAL_REVIEW:thanks_only; FINAL_FIX:sarcastic thanks about live tv outage/failure,phase1_engineer
gold_925510,925510,root_925510,@hulu_support New Hulu subscriber with live TV. Roku Stk w/phone hotspot.Cn see live on phone but not stick. Solution?,[],live_tv_issues,False,troubleshooting_strong_evidence,medium,medium,"rules=['live_tv_issues', 'app_device_issue']; escalate:routine_support_issue",phase1_engineer
gold_777026,777026,root_777026,@hulu_support will Hulu Live TV eventually support 5.1 audio playback?,[],live_tv_issues,False,troubleshooting_strong_evidence,high,easy,rules=['live_tv_issues']; escalate:routine_support_issue,phase1_engineer
gold_404842,404842,root_404842,@115940 why can’t I just go to straight live tv? Why start at the beginning of a game and call the pregame advertisement?? #help,[],live_tv_issues,False,troubleshooting_strong_evidence,medium,medium,rules=['live_tv_issues']; escalate:routine_support_issue,phase1_engineer
gold_2483929,2483929,root_2483929,"Hey, Hulu. It's Wednesday. Still no NBC live (ever since Sunday Night Football). All other channels are fine. I'm in the Seattle area 98155. @115940 @hulu_support",[],live_tv_issues,False,troubleshooting_strong_evidence,high,easy,rules=['live_tv_issues']; escalate:routine_support_issue,phase1_engineer
gold_521612,521612,root_521613,@hulu_support And I can watch Live TV on my Chromebook. It's in the same IP range as the Roku.,[],live_tv_issues,False,troubleshooting_strong_evidence,medium,medium,"rules=['live_tv_issues', 'app_device_issue']; escalate:routine_support_issue",phase1_engineer
gold_1468793,1468793,root_1468791,@hulu_support Second issue I've had with the live tv this week. Lame and not worth the hassle or money,[],live_tv_issues,False,troubleshooting_strong_evidence,high,easy,rules=['live_tv_issues']; escalate:routine_support_issue,phase1_engineer
gold_1005486,1005486,root_1005486,@115940 live TV is the worst service anyone could ever buy. It flat out doesn't work.,[],live_tv_issues,False,troubleshooting_strong_evidence,medium,medium,"rules=['live_tv_issues', 'feedback_complaint']; escalate:routine_support_issue; MANUAL_REVIEW:live_primary",phase1_engineer
gold_2759437,2759437,root_2759438,@hulu_support No. I’m unsound watch espn cause Hulu keeps falling apart,[],live_tv_issues,False,troubleshooting_strong_evidence,medium,medium,rules=['live_tv_issues']; escalate:routine_support_issue,phase1_engineer
gold_40981,40981,cust_40981,@hulu_support Not working yet. This is really bad for live tv. You can't have this type of service!,[],live_tv_issues,False,troubleshooting_strong_evidence,high,easy,rules=['live_tv_issues']; escalate:routine_support_issue,phase1_engineer
gold_413398,413398,root_413400,@hulu_support I've re-activated​ my live TV because I want it to be not awful. I do have some usability concerns. Who do I talk to?,[],live_tv_issues,False,troubleshooting_strong_evidence,medium,medium,rules=['live_tv_issues']; escalate:routine_support_issue,phase1_engineer
gold_854745,854745,root_854745,"@115940 if you are going to offer live tv, please include a guide or a way to find out what’s on tv. Can’t find a single college fb game.",[],live_tv_issues,False,troubleshooting_strong_evidence,medium,medium,rules=['live_tv_issues']; escalate:routine_support_issue,phase1_engineer
gold_2816513,2816513,root_2816511,"@hulu_support Ok, just did that. Hulu Live TV early access online works but the TV still doesn’t :( maybe it’s cuz Hulu Live tv is still in beta?",[],live_tv_issues,False,troubleshooting_strong_evidence,medium,medium,rules=['live_tv_issues']; escalate:routine_support_issue,phase1_engineer
gold_1355492,1355492,root_1355492,@115940 your live doesn’t work for older devices Apple TV Roku Toshiba laptop PS3  I signed up only can view on my iPhone this is worthless,[],live_tv_issues,False,troubleshooting_strong_evidence,low,hard,rules=['app_device_issue']; escalate:routine_support_issue; MANUAL_REVIEW:rant; FINAL_FIX:live broken across devices; complaint tone but live_tv primary,phase1_engineer
gold_714588,714588,root_714588,"@hulu_support Is there a way to go back to the old Hulu interface on my Roku? For me, the new interface is unusable, I'd like to go back.",[],app_device_issue,False,troubleshooting_strong_evidence,high,easy,rules=['app_device_issue']; escalate:routine_support_issue,phase1_engineer
gold_357120,357120,root_357120,"@hulu_support many thumbnails not showing up on iPad ,iPhone app or Apple TV app. https://t.co/uIA9rcDwYo",[],app_device_issue,False,troubleshooting_strong_evidence,high,easy,rules=['app_device_issue']; escalate:routine_support_issue,phase1_engineer
gold_270490,270490,root_270491,@hulu_support Apple TV 4th Gen. Thx for the reply!,[],app_device_issue,False,troubleshooting_strong_evidence,high,easy,rules=['app_device_issue']; escalate:routine_support_issue,phase1_engineer
gold_2201163,2201163,root_2201163,@hulu_support I’m in a perpetual loop where the app says “loading” then keeps flips back to TV then back to “loading” on my smart tv. Any ideas?,[],app_device_issue,False,troubleshooting_strong_evidence,medium,medium,rules=['app_device_issue']; escalate:routine_support_issue,phase1_engineer
gold_2982140,2982140,root_2982140,I need help with a BYA-403-010 error code on my Roku express even though I'm in my living room. @hulu_support,[],app_device_issue,False,troubleshooting_strong_evidence,high,easy,rules=['app_device_issue']; escalate:routine_support_issue,phase1_engineer
gold_817311,817311,root_817312,"@hulu_support Restarted my Roku, that was the problem!",[],app_device_issue,False,troubleshooting_strong_evidence,high,easy,rules=['app_device_issue']; escalate:routine_support_issue,phase1_engineer
gold_207804,207804,root_207804,@hulu_support having issues loading any content. Are there issues playing on Roku systems?,[],app_device_issue,False,troubleshooting_strong_evidence,high,easy,rules=['app_device_issue']; escalate:routine_support_issue,phase1_engineer
gold_401977,401977,root_401977,"@115940 @hulu_support Hey the new UI is crap, connection / loading times have been bad since the update, and it keeps crashing on ROKU. Fix?",[],app_device_issue,False,troubleshooting_strong_evidence,high,easy,rules=['app_device_issue']; escalate:routine_support_issue,phase1_engineer
gold_63408,63408,cust_63408,@hulu_support Please make you new UI on Roku 3 less 'clicky' - I shouldn't have to click half a dozen times to find and watch a show when your old UI was maybe 3 clicks tops.  CHANGE IT!,[],app_device_issue,False,troubleshooting_strong_evidence,high,easy,rules=['app_device_issue']; escalate:routine_support_issue,phase1_engineer
gold_1928245,1928245,root_1928245,@115940 why do shows show up on my phone app but not Apple TV.  Also airplay barely works!   FIX!,[],app_device_issue,False,troubleshooting_strong_evidence,high,easy,rules=['app_device_issue']; escalate:routine_support_issue,phase1_engineer
gold_2377725,2377725,root_2377725,@hulu_support How do I turn off autoplay for a kids’ profile on an AppleTV?,[],app_device_issue,False,troubleshooting_strong_evidence,medium,medium,"rules=['app_device_issue', 'how_to_feature']; escalate:routine_support_issue",phase1_engineer
gold_1681450,1681450,root_1681450,@hulu_support Fire TV app doesnt work. Tried writing support email - got auto reply. Tried calling - 1+ hr wait? Lost potential customer ✌️👋,[],app_device_issue,False,troubleshooting_strong_evidence,medium,medium,rules=['app_device_issue']; escalate:routine_support_issue,phase1_engineer
gold_1187448,1187448,cust_1187448,@hulu_support There is no Hulu dropdown menu on roku CBS app,[],app_device_issue,False,troubleshooting_strong_evidence,high,easy,rules=['app_device_issue']; escalate:routine_support_issue,phase1_engineer
gold_962944,962944,root_962944,@hulu_support your smart tv app is awful. I can't watch more than a few minutes before i get an error. Might as well unsub!,[],app_device_issue,False,troubleshooting_strong_evidence,high,easy,rules=['app_device_issue']; escalate:routine_support_issue,phase1_engineer
gold_467829,467829,root_467829,@hulu_support I'm trying to use my Roku streaming stick at my friend's house and it's asking me to set it as my home location. What the fuck. I can only use a streaming stick at home?!,[],app_device_issue,False,troubleshooting_strong_evidence,high,easy,rules=['app_device_issue']; escalate:routine_support_issue,phase1_engineer
gold_1622827,1622827,root_1622827,"@hulu_support Are there plans to add 5.1 audio capability to the Xbox One app? It works on Roku, why not Xbox One?",[],app_device_issue,False,troubleshooting_strong_evidence,high,easy,rules=['app_device_issue']; escalate:routine_support_issue,phase1_engineer
gold_1577090,1577090,root_1577090,@115940 @115946 @126452 @115940 I am on @115821 #FireTV if that helps. Happened during the World Series too,[],app_device_issue,False,troubleshooting_strong_evidence,high,easy,rules=['app_device_issue']; escalate:routine_support_issue,phase1_engineer
gold_191910,191910,cust_191910,@hulu_support This does not tell me how to access watchlist which I can’t on Roku. It tells me what devices are supported by not the workaround. not happy,[],app_device_issue,False,troubleshooting_strong_evidence,medium,medium,"rules=['app_device_issue', 'how_to_feature']; escalate:routine_support_issue",phase1_engineer
gold_1740549,1740549,root_1740553,"@hulu_support Np. I can test further. I’m trying to remember if it was only when I used my Chromecast or not. I know one ep was 4:3, the next 16:9.",[],app_device_issue,False,troubleshooting_strong_evidence,medium,medium,rules=['app_device_issue']; escalate:routine_support_issue,phase1_engineer
gold_347110,347110,root_347110,"@hulu_support idk why im signed out on my wii, it wont let me sign in or give me an activ. code, im signed in online but cant get to my acct",[],login_account,True,account_specific_action,medium,easy,rules=['login_account']; escalate:intent_default:login_account; MANUAL_REVIEW:login_force,phase1_engineer
gold_954498,954498,root_954498,@hulu_support wait time today to try and figure out why I haven’t been able to log in for five days https://t.co/lgt47x96X7,[],login_account,True,account_specific_action,medium,medium,rules=['login_account']; escalate:intent_default:login_account,phase1_engineer
gold_386636,386636,root_386636,@hulu_support  i've changed our account password twice and still can't log in can you fix your service? from what i can see this is a common,[],login_account,True,account_specific_action,medium,easy,rules=['login_account']; escalate:intent_default:login_account; MANUAL_REVIEW:login_force,phase1_engineer
gold_2332238,2332238,root_2332238,@hulu_support your service is down. Can't watch football. Trying to log in via NBC gives error saying Hulu does not have retransmission rights.,[],login_account,True,account_specific_action,high,easy,rules=['login_account']; escalate:intent_default:login_account,phase1_engineer
gold_2972726,2972726,root_2972727,@hulu_support I was able to login but now I don’t have my spotify/Hulu plan. How do I set that back up?,[],login_account,True,account_specific_action,medium,medium,"rules=['login_account', 'how_to_feature']; escalate:intent_default:login_account",phase1_engineer
gold_2381549,2381549,root_2381551,@hulu_support This is not a number. It’s a link to reset my password... 😒😒😒,[],login_account,True,account_specific_action,medium,medium,rules=['login_account']; escalate:intent_default:login_account; MANUAL_REVIEW:login_force,phase1_engineer
gold_284187,284187,root_284187,@hulu_support for some reason i cannot login into my accoun! Help!!,[],login_account,True,account_specific_action,high,easy,rules=['login_account']; escalate:intent_default:login_account,phase1_engineer
gold_652356,652356,cust_652356,@hulu_support I an still receiving login errors and playback Issues. I am using a fire stick and uninstalling and reinstalling doesn't fix the issue.,[],login_account,True,account_specific_action,medium,medium,"rules=['login_account', 'app_device_issue']; escalate:intent_default:login_account",phase1_engineer
gold_223580,223580,root_223580,"@115940 please can customer support contact me. I'm stuck in a hell loop of not being able to log in, and having to log in to contact support",[],login_account,True,account_specific_action,high,easy,rules=['login_account']; escalate:intent_default:login_account,phase1_engineer
gold_388173,388173,root_388173,@hulu_support I was just informed of the Spotify/Hulu bundle. How do I sign in to Hulu to get the bundle?,[],login_account,True,account_specific_action,medium,medium,"rules=['login_account', 'how_to_feature']; escalate:intent_default:login_account; MANUAL_REVIEW:login_force",phase1_engineer
gold_2251699,2251699,root_2251699,@hulu_support Am I able to access Hulu Live TV on my desktop computer? I don't see my DVR or live TV access when I login.,[],login_account,True,account_specific_action,medium,medium,"rules=['login_account', 'live_tv_issues']; escalate:intent_default:login_account",phase1_engineer
gold_2263645,2263645,root_2263645,"@115940 I've been trying 2 restart a TV Program for 72hrs and I keep getting &amp; error msg. Also I keep getting the msg. ""Hulu has stopped working"". And it keeps making me log in every time I restart it even if I can't get it working on a movie. Tried 2 find the error code, couldn't.",[],login_account,True,account_specific_action,medium,medium,rules=['login_account']; escalate:intent_default:login_account,phase1_engineer
gold_1642447,1642447,root_1642447,@115940 why would u allow users to login using Facebook ONLY ON DESKTOP. You lock users out from mobile this way. #badUX #lazyUI,[],login_account,True,account_specific_action,high,easy,rules=['login_account']; escalate:intent_default:login_account,phase1_engineer
gold_1265463,1265463,root_1265463,@hulu_support  What happened with the Windows 10 app.  cant login,[],login_account,True,account_specific_action,high,easy,rules=['login_account']; escalate:intent_default:login_account,phase1_engineer
gold_1128868,1128868,root_1128869,"@hulu_support Not to create a 2nd one. It's an annoying extra step to select a profile 2 log in. With 1 profile, it'd be nice to bypass profile selection.",[],login_account,True,account_specific_action,high,easy,rules=['login_account']; escalate:intent_default:login_account,phase1_engineer
gold_2596041,2596041,root_2596041,"@hulu_support hello hulu, i have hulu plus yet everytime i login with my credentials it pops up as a basic hulu account.??? why",[],login_account,True,account_specific_action,high,easy,rules=['login_account']; escalate:intent_default:login_account,phase1_engineer
gold_435448,435448,cust_435448,"@hulu_support I already chatted with them all they said was to change my password but yet that didn’t work, been having this issue for a week already.",[],login_account,True,account_specific_action,medium,medium,rules=['login_account']; escalate:intent_default:login_account; MANUAL_REVIEW:login_force,phase1_engineer
gold_1767264,1767264,root_1767264,Can’t remember my @115940 password &amp; I don’t use that email address anymore so no way to get a reset link. Help.,[],login_account,True,account_specific_action,medium,medium,rules=['login_account']; escalate:intent_default:login_account; MANUAL_REVIEW:login_force,phase1_engineer
gold_1363688,1363688,root_1363688,@hulu_support hey can you guys help me? I can’t login to my iPhone app but i can login to your website???,[],login_account,True,account_specific_action,medium,medium,rules=['login_account']; escalate:intent_default:login_account,phase1_engineer
gold_965572,965572,root_965569,"@hulu_support As indicated prior, it’s not letting me log in and progress through all steps so that doesn’t work. Do you have a customer service number?",[],login_account,True,account_specific_action,medium,medium,rules=['login_account']; escalate:intent_default:login_account,phase1_engineer
gold_45990,45990,root_45992,"@hulu_support I just wanted to know, with the basic package (limited commercials), how many screens can you watch at the same time?",[],how_to_feature,False,generic_informational,medium,easy,rules=['billing_subscription']; escalate:intent_default:billing_subscription; MANUAL_REVIEW:screens_howto; FINAL_FIX:screens concurrent streaming question,phase1_engineer
gold_1224206,1224206,root_1224206,Why do I have to pay for Hulu and have to watch commercials? 🤔😭 @115940,[],billing_subscription,True,billing_refund_dispute,medium,medium,rules=['billing_subscription']; escalate:intent_default:billing_subscription,phase1_engineer
gold_1504510,1504510,root_1504510,Just signed up for @115940 free trial. Why would i keep it when it doesn’t work half the time 😑,[],billing_subscription,True,billing_refund_dispute,medium,medium,rules=['billing_subscription']; escalate:intent_default:billing_subscription,phase1_engineer
gold_115022,115022,root_115023,@hulu_support This is the message I’m getting. I’ve had a Hulu Live subscription since September https://t.co/zVcvSAFEeC,[],billing_subscription,True,billing_refund_dispute,medium,medium,rules=['billing_subscription']; escalate:intent_default:billing_subscription; MANUAL_REVIEW:billing_force,phase1_engineer
gold_1377357,1377357,root_1377359,@hulu_support I forgot to cancel my subscription before I got charged again. Is there any way I could get a refund?,[],billing_subscription,True,billing_refund_dispute,medium,easy,rules=['billing_subscription']; escalate:intent_default:billing_subscription; MANUAL_REVIEW:billing_force,phase1_engineer
gold_1577095,1577095,root_1577095,Come on @115940 I’ve seen the same Kia ad EVERY commercial break. Sell some dam ads or run an ad for a salesperson. It’s enough to make me want to watch @116602 (no offense Netflix).,[],billing_subscription,True,billing_refund_dispute,medium,medium,rules=['billing_subscription']; escalate:intent_default:billing_subscription,phase1_engineer
gold_2181625,2181625,root_2181625,"I've seen the same commercial 7 times in the same episode that I've been watching on @115940
Can y'all not",[],billing_subscription,True,billing_refund_dispute,high,easy,rules=['billing_subscription']; escalate:intent_default:billing_subscription,phase1_engineer
gold_273331,273331,root_273328,@hulu_support STILL buffering and starting from beginning when 7mins or less left in a show. This is absurd. Considering cancelling my subscription.,[],billing_subscription,True,billing_refund_dispute,medium,medium,"rules=['billing_subscription', 'playback_error']; escalate:intent_default:billing_subscription; MANUAL_REVIEW:billing_force",phase1_engineer
gold_961348,961348,root_961348,"Dear @hulu_support
If you want me to pay for next month of Hulu Live, I want a refund for Oct. 
Couldn’t see Raiders, then issues w/Cubs, AL https://t.co/tUGxt6t3jr",[],billing_subscription,True,billing_refund_dispute,medium,medium,rules=['billing_subscription']; escalate:intent_default:billing_subscription; MANUAL_REVIEW:billing_force,phase1_engineer
gold_59915,59915,root_59915,@hulu_support is #MrRobot available with my subscription or not? Very confusing info online @127550 is sounding good now.,[],billing_subscription,True,billing_refund_dispute,medium,easy,rules=['billing_subscription']; escalate:intent_default:billing_subscription; MANUAL_REVIEW:billing_force,phase1_engineer
gold_1747241,1747241,root_1747241,@115940 your new format sucks!!! Thinking of cancelling my subscription. 👎🏻,[],billing_subscription,True,billing_refund_dispute,medium,medium,rules=['billing_subscription']; escalate:intent_default:billing_subscription; MANUAL_REVIEW:billing_force,phase1_engineer
gold_188077,188077,root_188078,"@hulu_support Hbo free trial claims a month in app, only a week through account. Which is correct - and what about Cinemax and showtime?",[],billing_subscription,True,billing_refund_dispute,medium,medium,rules=['billing_subscription']; escalate:intent_default:billing_subscription,phase1_engineer
gold_310432,310432,root_310432,@hulu_support I signed up for a free trial at the $5.99 rate and switched to $11.99 an hour later and now I'm getting charged $4. Why?,[],billing_subscription,True,billing_refund_dispute,medium,medium,rules=['billing_subscription']; escalate:intent_default:billing_subscription,phase1_engineer
gold_2754550,2754550,root_2754550,"@hulu_support hello, I cancelled my subscription in August yet I still got charged apparently every month since then. Please reverse the charges! https://t.co/l4PVeomLtY",[],billing_subscription,True,billing_refund_dispute,medium,easy,rules=['billing_subscription']; escalate:intent_default:billing_subscription; MANUAL_REVIEW:billing_force,phase1_engineer
gold_376946,376946,root_376946,"@hulu_support I was just charged for a one month free trial, that I finally signed up for after receiving dozens of email to ""come back"" Why",[],billing_subscription,True,billing_refund_dispute,high,easy,rules=['billing_subscription']; escalate:intent_default:billing_subscription,phase1_engineer
gold_1777796,1777796,root_1777796,@115940 I sure do wish Modern Family would not shut down every time a commercial came on.,[],billing_subscription,True,billing_refund_dispute,high,easy,rules=['billing_subscription']; escalate:intent_default:billing_subscription,phase1_engineer
gold_592886,592886,root_592886,I can’t wait to cancel @115940 tomorrow.  Cord cutting experiment abject failure.,[],billing_subscription,True,billing_refund_dispute,medium,medium,rules=['billing_subscription']; escalate:intent_default:billing_subscription,phase1_engineer
gold_880266,880266,root_880266,"@13641 Every commercial break watching @115940 I get error msg ""Connection Disconnected."" It doesn't happen w/ app just TV. What's up?",[],billing_subscription,True,billing_refund_dispute,high,easy,rules=['billing_subscription']; escalate:intent_default:billing_subscription,phase1_engineer
gold_1305445,1305445,root_1305445,"@115940 The fact that I have to sit through 4, 2 minute commercials while watching a 24 minute show is insane...276 episodes to go I guess 😓😒",[],billing_subscription,True,billing_refund_dispute,medium,medium,rules=['billing_subscription']; escalate:intent_default:billing_subscription,phase1_engineer
gold_2108461,2108461,root_2108461,@hulu_support got weird message. Video not part of subscription and then it logged me out,[],billing_subscription,True,billing_refund_dispute,medium,easy,rules=['billing_subscription']; escalate:intent_default:billing_subscription; MANUAL_REVIEW:billing_force,phase1_engineer
gold_1494174,1494174,root_1494174,"@hulu_support WHY IS BASKETBALL WIVES NOT ON HERE, I LITERALLY SUBSCRIBED FOR THAT IM SO DONE",[],content_availability,False,troubleshooting_strong_evidence,medium,easy,rules=['content_availability']; escalate:routine_support_issue; MANUAL_REVIEW:content_force,phase1_engineer
gold_2791262,2791262,root_2791262,Why is season 3 of Rick and Morty STILL NOT ON @115940 😤,[],content_availability,False,troubleshooting_strong_evidence,medium,medium,rules=['content_availability']; escalate:routine_support_issue; MANUAL_REVIEW:content_force,phase1_engineer
gold_1187464,1187464,root_1187464,@115940 it says the newest episode of Lucifer was supposed o be available at midnight it’s 1 am when will I get to watch it,[],content_availability,False,troubleshooting_strong_evidence,medium,medium,rules=['content_availability']; escalate:routine_support_issue,phase1_engineer
gold_2453804,2453804,root_2453804,Hey @115940 where be season 3 of Rick and Morty,[],content_availability,False,troubleshooting_strong_evidence,high,easy,rules=['content_availability']; escalate:routine_support_issue,phase1_engineer
gold_2196355,2196355,root_2196355,@hulu_support why is there no new episode this week for The Good Dr??,[],content_availability,False,troubleshooting_strong_evidence,high,easy,rules=['content_availability']; escalate:routine_support_issue,phase1_engineer
gold_1475655,1475655,root_1475655,@hulu_support season 9 finale of RHOA is missing,[],content_availability,False,troubleshooting_strong_evidence,high,easy,rules=['content_availability']; escalate:routine_support_issue,phase1_engineer
gold_1776739,1776739,root_1776739,"@hulu_support Hi, why have @282601 and @17712 been late to upload?",[],content_availability,False,troubleshooting_strong_evidence,high,easy,rules=['content_availability']; escalate:routine_support_issue,phase1_engineer
gold_2063231,2063231,root_2063231,@115940 when are you taking Make It Or Break It off? I haven’t finished the series yet!,[],content_availability,False,troubleshooting_strong_evidence,medium,medium,rules=['content_availability']; escalate:routine_support_issue,phase1_engineer
gold_2214737,2214737,root_2214737,@115940 why is last night @33581 not on Hulu yet?! @hulu_support,[],content_availability,False,troubleshooting_strong_evidence,medium,easy,rules=['content_availability']; escalate:routine_support_issue; MANUAL_REVIEW:content_force,phase1_engineer
gold_2098944,2098944,root_2098944,@115940 will broad city season 4 be available on hulu anytime soon?,[],content_availability,False,troubleshooting_strong_evidence,high,easy,rules=['content_availability']; escalate:routine_support_issue,phase1_engineer
